ElapsedTime,NumSecCov,Source
0.0,256.3333333333333,Fuzzilli-JSC.csv
0.016666666666666666,263.5,Fuzzilli-JSC.csv
0.03333333333333333,267.0,Fuzzilli-JSC.csv
0.05,267.0,Fuzzilli-JSC.csv
0.06666666666666667,267.0,Fuzzilli-JSC.csv
0.08333333333333333,267.0,Fuzzilli-JSC.csv
0.11666666666666667,267.0,Fuzzilli-JSC.csv
0.13333333333333333,269.8,Fuzzilli-JSC.csv
0.15,271.0,Fuzzilli-JSC.csv
0.16666666666666666,271.0,Fuzzilli-JSC.csv
0.18333333333333332,271.0,Fuzzilli-JSC.csv
0.2,271.0,Fuzzilli-JSC.csv
0.21666666666666667,272.0,Fuzzilli-JSC.csv
0.3,272.0,Fuzzilli-JSC.csv
0.31666666666666665,272.0,Fuzzilli-JSC.csv
0.3333333333333333,272.0,Fuzzilli-JSC.csv
0.35,272.0,Fuzzilli-JSC.csv
0.36666666666666664,272.0,Fuzzilli-JSC.csv
0.38333333333333336,272.0,Fuzzilli-JSC.csv
0.4,273.5,Fuzzilli-JSC.csv
0.4166666666666667,292.25,Fuzzilli-JSC.csv
0.43333333333333335,293.0,Fuzzilli-JSC.csv
0.45,293.0,Fuzzilli-JSC.csv
0.4666666666666667,293.0,Fuzzilli-JSC.csv
0.48333333333333334,293.0,Fuzzilli-JSC.csv
0.5,293.0,Fuzzilli-JSC.csv
0.5166666666666667,299.6666666666667,Fuzzilli-JSC.csv
0.5333333333333333,313.0,Fuzzilli-JSC.csv
0.55,313.0,Fuzzilli-JSC.csv
0.5666666666666667,313.0,Fuzzilli-JSC.csv
0.5833333333333334,313.0,Fuzzilli-JSC.csv
0.6,313.0,Fuzzilli-JSC.csv
0.6166666666666667,313.0,Fuzzilli-JSC.csv
0.6333333333333333,313.0,Fuzzilli-JSC.csv
0.6833333333333333,313.0,Fuzzilli-JSC.csv
0.7,313.0,Fuzzilli-JSC.csv
0.7166666666666667,313.0,Fuzzilli-JSC.csv
0.7333333333333333,313.0,Fuzzilli-JSC.csv
0.75,313.0,Fuzzilli-JSC.csv
0.7666666666666667,313.0,Fuzzilli-JSC.csv
0.7833333333333333,313.0,Fuzzilli-JSC.csv
0.8166666666666667,313.0,Fuzzilli-JSC.csv
