ElapsedTime,NumSecCovTotal,Source
0.0,904.0,JSTargetFuzzer-v1.csv
0.03333333333333333,1958.0,JSTargetFuzzer-v1.csv
0.08333333333333333,3695.0,JSTargetFuzzer-v1.csv
0.1,3695.0,JSTargetFuzzer-v1.csv
0.11666666666666667,4448.0,JSTargetFuzzer-v1.csv
0.23333333333333334,8535.142857142857,JSTargetFuzzer-v1.csv
0.25,10485.0,JSTargetFuzzer-v1.csv
0.2833333333333333,10800.0,JSTargetFuzzer-v1.csv
0.3,12663.0,JSTargetFuzzer-v1.csv
0.4,15691.0,JSTargetFuzzer-v1.csv
0.45,15691.0,JSTargetFuzzer-v1.csv
0.4666666666666667,15691.0,JSTargetFuzzer-v1.csv
0.48333333333333334,18284.0,JSTargetFuzzer-v1.csv
0.65,18284.0,JSTargetFuzzer-v1.csv
0.6666666666666666,25153.0,JSTargetFuzzer-v1.csv
0.7,25153.0,JSTargetFuzzer-v1.csv
0.7166666666666667,28785.0,JSTargetFuzzer-v1.csv
0.8833333333333333,28785.0,JSTargetFuzzer-v1.csv
1.45,28785.0,JSTargetFuzzer-v1.csv
1.4666666666666666,50954.666666666664,JSTargetFuzzer-v1.csv
1.4833333333333334,51553.354838709674,JSTargetFuzzer-v1.csv
1.5,51889.333333333336,JSTargetFuzzer-v1.csv
1.5333333333333334,52264.0,JSTargetFuzzer-v1.csv
1.55,56512.0,JSTargetFuzzer-v1.csv
1.6,57210.0,JSTargetFuzzer-v1.csv
1.6166666666666667,60319.0,JSTargetFuzzer-v1.csv
1.75,65744.83333333333,JSTargetFuzzer-v1.csv
2.0,66830.0,JSTargetFuzzer-v1.csv
2.0166666666666666,83165.0,JSTargetFuzzer-v1.csv
2.033333333333333,83165.0,JSTargetFuzzer-v1.csv
2.05,86466.0,JSTargetFuzzer-v1.csv
2.066666666666667,87102.0,JSTargetFuzzer-v1.csv
2.283333333333333,87102.0,JSTargetFuzzer-v1.csv
2.3,94660.0,JSTargetFuzzer-v1.csv
2.316666666666667,94922.5,JSTargetFuzzer-v1.csv
2.35,95185.0,JSTargetFuzzer-v1.csv
2.9,95185.0,JSTargetFuzzer-v1.csv
3.033333333333333,95185.0,JSTargetFuzzer-v1.csv
3.05,97330.28571428571,JSTargetFuzzer-v1.csv
3.1333333333333333,110700.0,JSTargetFuzzer-v1.csv
3.15,114186.0,JSTargetFuzzer-v1.csv
3.1666666666666665,114995.0,JSTargetFuzzer-v1.csv
3.25,118426.0,JSTargetFuzzer-v1.csv
3.3,118720.0,JSTargetFuzzer-v1.csv
3.316666666666667,122118.0,JSTargetFuzzer-v1.csv
3.35,125281.76923076923,JSTargetFuzzer-v1.csv
3.3666666666666667,125857.0,JSTargetFuzzer-v1.csv
3.3833333333333333,126527.0,JSTargetFuzzer-v1.csv
3.4166666666666665,126527.0,JSTargetFuzzer-v1.csv
3.433333333333333,129401.0,JSTargetFuzzer-v1.csv
3.4833333333333334,129401.0,JSTargetFuzzer-v1.csv
3.5,129401.0,JSTargetFuzzer-v1.csv
3.5166666666666666,129401.0,JSTargetFuzzer-v1.csv
4.116666666666666,132416.0,JSTargetFuzzer-v1.csv
4.15,138446.0,JSTargetFuzzer-v1.csv
4.166666666666667,140356.0,JSTargetFuzzer-v1.csv
4.183333333333334,141004.0,JSTargetFuzzer-v1.csv
4.233333333333333,141004.0,JSTargetFuzzer-v1.csv
4.266666666666667,144194.625,JSTargetFuzzer-v1.csv
4.283333333333333,146109.0,JSTargetFuzzer-v1.csv
4.3,146715.0,JSTargetFuzzer-v1.csv
4.416666666666667,146715.0,JSTargetFuzzer-v1.csv
4.433333333333334,150621.25,JSTargetFuzzer-v1.csv
4.45,151420.0,JSTargetFuzzer-v1.csv
4.716666666666667,160482.0,JSTargetFuzzer-v1.csv
4.8,160482.0,JSTargetFuzzer-v1.csv
4.816666666666666,165326.0,JSTargetFuzzer-v1.csv
4.833333333333333,165959.0,JSTargetFuzzer-v1.csv
4.866666666666666,165959.0,JSTargetFuzzer-v1.csv
4.883333333333334,169463.0,JSTargetFuzzer-v1.csv
