Parent ID,Parent Weight,Child ID,Child Weight
B0C968FD-8B23-4E75-BA3E-F18A315C2868,1.00,695B8B5F-B7F4-428C-8D0F-B84C377C1F52,1.00
B0C968FD-8B23-4E75-BA3E-F18A315C2868,1.00,911AF3F7-2959-42E9-9F48-F2220A0E5E0D,1.00
B0C968FD-8B23-4E75-BA3E-F18A315C2868,1.00,21FF8BD3-1306-443B-808C-B01A3CAFAEFF,1.00
B0C968FD-8B23-4E75-BA3E-F18A315C2868,1.00,E6F87CFB-B58C-402C-BC16-1C39800B6DE1,1.00
B0C968FD-8B23-4E75-BA3E-F18A315C2868,1.00,F9AE2018-8058-4C33-9E4C-EEA271866E6B,1.00
A4EB5FC2-F4C2-42A8-BB77-779CEB97AF84,1.00,DA304E6B-B291-4D28-8F19-592CC76F7B02,1.00
A4EB5FC2-F4C2-42A8-BB77-779CEB97AF84,1.00,1C9827FB-0516-448B-9ED4-B376C76A0D14,1.00
A4EB5FC2-F4C2-42A8-BB77-779CEB97AF84,1.00,F8860540-7926-480F-85E6-CD89092A1F3C,1.00
A4EB5FC2-F4C2-42A8-BB77-779CEB97AF84,1.00,C25F1800-8BE9-4367-845B-758011AAAC5E,1.00
A4EB5FC2-F4C2-42A8-BB77-779CEB97AF84,1.00,DA681035-B656-42C8-BCF5-F30B12B94FF9,1.00
871622D7-7FCC-4A9F-9E7A-5019553DA0B3,1.00,60D1D938-AF2C-4F4C-A10A-C7F09CFB5987,1.00
871622D7-7FCC-4A9F-9E7A-5019553DA0B3,1.00,938AFE4E-2FDA-498E-88BD-DC4125EEA885,1.00
871622D7-7FCC-4A9F-9E7A-5019553DA0B3,1.00,B3C63968-7D6D-4AC2-82CB-0C75283BE433,1.00
871622D7-7FCC-4A9F-9E7A-5019553DA0B3,1.00,EA0CA5DB-A1F2-4013-A747-9EE0186CA94A,1.00
871622D7-7FCC-4A9F-9E7A-5019553DA0B3,1.00,825F32BD-5459-4C68-BAA7-82D562BE2DFB,1.00
012EE3FD-870B-4F7B-AF1A-9A65E3B0D0F7,1.00,551106F6-C27D-455D-8E43-DD99B37D4110,1.00
012EE3FD-870B-4F7B-AF1A-9A65E3B0D0F7,1.00,BE20EC89-C97F-4A24-B5E7-ABF43671C206,1.00
BE20EC89-C97F-4A24-B5E7-ABF43671C206,1.00,D67419A4-34F7-4811-9451-2F8D15F31131,1.00
D67419A4-34F7-4811-9451-2F8D15F31131,1.00,9B88E25A-F4BD-443F-BE72-C91F619BE855,1.00
9B88E25A-F4BD-443F-BE72-C91F619BE855,1.00,20642E9F-576C-43AB-962B-DC7919EE0221,1.00
46B9C745-1E16-49A3-A688-FCD1A0BCE364,1.00,E25A470B-0FB5-4813-8267-71BD5A8B0A8E,1.00
46B9C745-1E16-49A3-A688-FCD1A0BCE364,1.00,9827EE93-6E79-4EA1-B7CA-755119738F79,1.00
46B9C745-1E16-49A3-A688-FCD1A0BCE364,1.00,425C8CD3-C092-4A19-88F3-DF196E9D2EB5,1.00
46B9C745-1E16-49A3-A688-FCD1A0BCE364,1.00,8775B22F-B421-4A22-AC5B-AE51AD40C704,1.00
46B9C745-1E16-49A3-A688-FCD1A0BCE364,1.00,C5C10B36-4544-4838-890F-373BBC5C0D1B,1.00
76DE4AC9-1B86-4F8A-A273-04DBC9D3771F,1.00,925C8721-F834-46B1-98B7-31C58F9C7DF2,1.00
76DE4AC9-1B86-4F8A-A273-04DBC9D3771F,1.00,D2E1276F-C125-4300-A452-7872E628F6B7,1.00
D2E1276F-C125-4300-A452-7872E628F6B7,1.00,7C7F902E-734A-4C12-B247-36208CC49257,1.00
7C7F902E-734A-4C12-B247-36208CC49257,1.00,7D3E2A08-3F29-4A3F-9FD2-3347D5C8A8AF,1.00
7C7F902E-734A-4C12-B247-36208CC49257,1.00,E0F6550A-15D1-46C1-B209-36CBCC8E9D20,1.00
23D43F03-7C86-4FFC-B089-DB9C3B3EB82B,1.00,CD6ACC81-E3EC-4E1D-ACAD-A8B32E2A3868,1.00
23D43F03-7C86-4FFC-B089-DB9C3B3EB82B,1.00,D9FCF7CD-E58B-43F2-85A5-99D485A032AF,1.00
23D43F03-7C86-4FFC-B089-DB9C3B3EB82B,1.00,0498FAB4-BE12-40A2-9EA1-8696BE3B4E1C,1.00
23D43F03-7C86-4FFC-B089-DB9C3B3EB82B,1.00,C63FD0EA-7CC6-4B51-A1DE-7457315184CA,1.00
23D43F03-7C86-4FFC-B089-DB9C3B3EB82B,1.00,7A432B18-1DC6-45BF-A1F8-611EC7322B23,1.00
EFFD3A65-741C-4646-AE55-88ECBEE2F779,1.00,146B78D6-7792-4597-A72F-7045526FBD40,1.00
EFFD3A65-741C-4646-AE55-88ECBEE2F779,1.00,75945FA5-CF0B-4936-B487-A70E4838DF38,1.00
EFFD3A65-741C-4646-AE55-88ECBEE2F779,1.00,12157695-0AB1-43D8-94C5-EDE94772CAAC,1.00
EFFD3A65-741C-4646-AE55-88ECBEE2F779,1.00,6029ADC2-4013-4801-9FE8-249477F5221A,1.00
EFFD3A65-741C-4646-AE55-88ECBEE2F779,1.00,E1BF3553-0960-4400-8097-608CA253C657,1.00
5C3E83EA-F60D-415E-BB8F-9085B0207067,1.00,CE7F9700-8A6F-4699-AE25-1F0250AB7191,1.00
5C3E83EA-F60D-415E-BB8F-9085B0207067,1.00,19B35758-8CD4-48B0-BC77-589CE3E2D712,1.00
19B35758-8CD4-48B0-BC77-589CE3E2D712,1.00,AA6DD53C-A08E-4740-AD4B-72BACB905778,1.00
AA6DD53C-A08E-4740-AD4B-72BACB905778,1.00,3144A265-8608-43EF-816B-5AE7AFA55782,1.00
3144A265-8608-43EF-816B-5AE7AFA55782,1.00,D7935612-95AB-4B3E-B54C-D9350DB0D53C,1.00
4BDC73A8-9B28-4F65-90AC-6B801361955B,1.00,E3C83BF3-3904-494C-BBAE-F11F8DA08D1F,1.00
4BDC73A8-9B28-4F65-90AC-6B801361955B,1.00,E1E225A6-F6BF-4CBA-97C0-57A1811D578F,1.00
4BDC73A8-9B28-4F65-90AC-6B801361955B,1.00,09C8EFE4-B70D-4553-AF1F-8884AA99A3BC,1.00
4BDC73A8-9B28-4F65-90AC-6B801361955B,1.00,07D662D2-1970-4874-8079-AA5F7897FCD6,1.00
4BDC73A8-9B28-4F65-90AC-6B801361955B,1.00,4BBBD016-B736-4BEC-9982-F80F6D8E01EC,1.00
D1ECCEEA-BAFD-4AE0-A8F0-C7BC86C7F8F1,1.00,45C92D02-032F-459A-A31B-BA504F7C8BB1,1.00
D1ECCEEA-BAFD-4AE0-A8F0-C7BC86C7F8F1,1.00,B83A54F5-91D3-493A-9006-4CDF51B07A52,1.00
D1ECCEEA-BAFD-4AE0-A8F0-C7BC86C7F8F1,1.00,26A45979-C8BB-47E8-A1E8-7C79A9BBF376,1.00
D1ECCEEA-BAFD-4AE0-A8F0-C7BC86C7F8F1,1.00,84F5A747-5E05-406E-9FB6-48574C418021,1.00
D1ECCEEA-BAFD-4AE0-A8F0-C7BC86C7F8F1,1.00,5B5F8FF4-F562-4AB9-A0D8-CA8DC492C3B3,1.00
1A82D7AF-0243-473D-813B-52772128B0FF,1.00,7A484B7E-A9EB-47E1-9086-A971D6A38BAD,1.00
7A484B7E-A9EB-47E1-9086-A971D6A38BAD,1.00,2EC574EA-0DA2-4687-A32F-51764A200457,1.00
7A484B7E-A9EB-47E1-9086-A971D6A38BAD,1.00,AD0BC7D1-0B19-4370-B8B3-1A49B9D551C6,1.00
7A484B7E-A9EB-47E1-9086-A971D6A38BAD,1.00,B54DAF23-AD64-463E-A094-45410208333C,1.00
B54DAF23-AD64-463E-A094-45410208333C,1.00,D22494C1-B6B1-45D3-B239-75EDE285316E,1.00
10E2E4D8-9B37-4BAB-9F7A-C28BDCE80D91,1.00,4D6573C4-0D1E-4AD4-8923-5278348A3816,1.00
10E2E4D8-9B37-4BAB-9F7A-C28BDCE80D91,1.00,EEB5E200-61DE-4713-8DD3-72F8E8F3777A,1.00
10E2E4D8-9B37-4BAB-9F7A-C28BDCE80D91,1.00,E274A2ED-2E4E-4B06-8D68-7D188AE0C252,1.00
10E2E4D8-9B37-4BAB-9F7A-C28BDCE80D91,1.00,31F3F0DA-7B36-42F2-9CAA-6553532F32FA,1.00
