Type,ID,Title,Keyword,Associated Commits,Files
Issue,4945,Add stack-overflow check for general [[Construct]] method of function objects,overflow,58e504f1f487b83c00670772a63709e57b0cc835,".github/workflows/gh-actions.yml, jerry-core/ecma/operations/ecma-function-object.c, tests/jerry/regression-test-issue-4901.js"
Issue,4944,Fix memory leak in AtomicModifyWrite,leak,8fa7819c1f79c7c28aba7ed8ceb4d00cc007e839,"jerry-core/ecma/operations/ecma-atomics-object.c, tests/jerry/es.next/regression-test-issue-4894.js"
Issue,4941,Assertion 'ECMA_STRING_IS_REF_EQUALS_TO_ONE (string_p)' failed at jerryscript/jerry-core/ecma/base/ecma-literal-storage.c(ecma_free_string_list):77.,exception,4276a8a4730fb4f068c112133b6ea9635fe8283a,"jerry-core/ecma/operations/ecma-objects.c, tests/jerry/es.next/regression-test-issue-4941.js"
Issue,4941,Assertion 'ECMA_STRING_IS_REF_EQUALS_TO_ONE (string_p)' failed at jerryscript/jerry-core/ecma/base/ecma-literal-storage.c(ecma_free_string_list):77.,exception,a56f427afca614710b74640c39ec6de2f7514214,"jerry-core/ecma/operations/ecma-objects.c, tests/jerry/es.next/regression-test-issue-4941.js"
Issue,4941,Assertion 'ECMA_STRING_IS_REF_EQUALS_TO_ONE (string_p)' failed at jerryscript/jerry-core/ecma/base/ecma-literal-storage.c(ecma_free_string_list):77.,exception,da05d1a5d1f5ce5808c986916ff53ed6de4f33d3,"jerry-core/ecma/operations/ecma-objects.c, tests/jerry/es.next/regression-test-issue-4941.js"
Issue,4941,Assertion 'ECMA_STRING_IS_REF_EQUALS_TO_ONE (string_p)' failed at jerryscript/jerry-core/ecma/base/ecma-literal-storage.c(ecma_free_string_list):77.,exception,cec227e6f1a2cb8dbf4e0872a67535a571747855,"jerry-core/ecma/operations/ecma-objects.c, tests/jerry/es.next/regression-test-issue-4941.js"
Issue,4941,Assertion 'ECMA_STRING_IS_REF_EQUALS_TO_ONE (string_p)' failed at jerryscript/jerry-core/ecma/base/ecma-literal-storage.c(ecma_free_string_list):77.,exception,c0e248e0989de4a24ee46c25afdf700a205911be,"jerry-core/ecma/operations/ecma-objects.c, tests/jerry/es.next/regression-test-issue-4941.js"
Issue,4941,Assertion 'ECMA_STRING_IS_REF_EQUALS_TO_ONE (string_p)' failed at jerryscript/jerry-core/ecma/base/ecma-literal-storage.c(ecma_free_string_list):77.,exception,d9b37a22698a15ca3ae7b369822805fd7556538e,"jerry-core/ecma/operations/ecma-objects.c, tests/jerry/es.next/regression-test-issue-4941.js"
Issue,4941,Assertion 'ECMA_STRING_IS_REF_EQUALS_TO_ONE (string_p)' failed at jerryscript/jerry-core/ecma/base/ecma-literal-storage.c(ecma_free_string_list):77.,exception,57547d126115e093f99d55dad72459dcf203452c,"jerry-core/ecma/operations/ecma-objects.c, tests/jerry/es.next/regression-test-issue-4941.js"
Issue,4934,Assertion 'ecma_is_lexical_environment (obj_p) || !ecma_op_object_is_fast_array (obj_p)' failed at jerryscript/jerry-core/ecma/base/ecma-helpers.c(ecma_find_named_property):621.,access,fbdb80d275bcc16fddbc3ca37337a4e3b7a8f089,"jerry-core/vm/opcodes.c, tests/jerry/es.next/regression-test-issue-4934.js"
Issue,4934,Assertion 'ecma_is_lexical_environment (obj_p) || !ecma_op_object_is_fast_array (obj_p)' failed at jerryscript/jerry-core/ecma/base/ecma-helpers.c(ecma_find_named_property):621.,access,3f13061e45348d354c63f96199c2a9c23325cae0,"jerry-core/vm/opcodes.c, tests/jerry/es.next/regression-test-issue-4934.js"
Issue,4934,Assertion 'ecma_is_lexical_environment (obj_p) || !ecma_op_object_is_fast_array (obj_p)' failed at jerryscript/jerry-core/ecma/base/ecma-helpers.c(ecma_find_named_property):621.,access,2a3782141c75eb5be5d99eaab42541ea510321b4,"jerry-core/vm/opcodes.c, tests/jerry/es.next/regression-test-issue-4934.js"
Issue,4932,Assertion 'page_p != NULL' failed at jerryscript/jerry-core/parser/js/js-parser-mem.c(parser_list_get):274.,null,,
Issue,4930,Assertion 'page_p != NULL' failed at jerryscript/jerry-core/parser/js/js-parser-mem.c(parser_list_get):279. ,null,b5327cfcb37c9217f3c319d8897934a6da97d5ed,"jerry-core/parser/js/js-parser.c, tests/jerry/es.next/regression-test-issue-4930.js"
Issue,4930,Assertion 'page_p != NULL' failed at jerryscript/jerry-core/parser/js/js-parser-mem.c(parser_list_get):279. ,null,799583e5c887849d9ca669dfb3d3bfab37a053b7,"jerry-core/parser/js/js-parser.c, tests/jerry/es.next/regression-test-issue-4930.js"
Issue,4917,Use After Free at jerry-core/parser/js/js-lexer.c:3503 in lexer_compare_identifier_to_string,overflow,,
Issue,4916,Assertion 'context_p->next_scanner_info_p->type == SCANNER_TYPE_FUNCTION' failed at /home/ubuntu/fuzz/jerryscript/jerry-core/parser/js/js-parser.c(parser_parse_function_arguments):1618,access,ea284b872cfb52df4180c10d906dd5fddab5dcc6,jerry-core/parser/js/js-lexer.c
Issue,4916,Assertion 'context_p->next_scanner_info_p->type == SCANNER_TYPE_FUNCTION' failed at /home/ubuntu/fuzz/jerryscript/jerry-core/parser/js/js-parser.c(parser_parse_function_arguments):1618,access,a7ab49dd0752e9c1043da56c5baf503c6a333ee8,"jerry-core/parser/js/js-lexer.c, tests/jerry/regression-test-issue-4916.js"
Issue,4916,Assertion 'context_p->next_scanner_info_p->type == SCANNER_TYPE_FUNCTION' failed at /home/ubuntu/fuzz/jerryscript/jerry-core/parser/js/js-parser.c(parser_parse_function_arguments):1618,access,4199f8e2b65ab6cc29f4022ec22d9db7320dff42,"jerry-core/parser/js/js-lexer.c, tests/jerry/es.next/regression-test-issue-4916.js"
Issue,4916,Assertion 'context_p->next_scanner_info_p->type == SCANNER_TYPE_FUNCTION' failed at /home/ubuntu/fuzz/jerryscript/jerry-core/parser/js/js-parser.c(parser_parse_function_arguments):1618,access,8c646146e515e607c330e722dcd7ebaa61217790,"jerry-core/parser/js/js-lexer.c, tests/jerry/es.next/regression-test-issue-4916.js"
Issue,4916,Assertion 'context_p->next_scanner_info_p->type == SCANNER_TYPE_FUNCTION' failed at /home/ubuntu/fuzz/jerryscript/jerry-core/parser/js/js-parser.c(parser_parse_function_arguments):1618,access,aa8a36477e20a343e1f85720793bf9b99b0f57ce,"jerry-core/parser/js/js-lexer.c, tests/jerry/es.next/regression-test-issue-4916.js"
Issue,4916,Assertion 'context_p->next_scanner_info_p->type == SCANNER_TYPE_FUNCTION' failed at /home/ubuntu/fuzz/jerryscript/jerry-core/parser/js/js-parser.c(parser_parse_function_arguments):1618,access,5e1fdd1d1e75105b43392b4bb3996099cdc50f3d,"jerry-core/parser/js/js-lexer.c, tests/jerry/es.next/regression-test-issue-4916.js"
Issue,4916,Assertion 'context_p->next_scanner_info_p->type == SCANNER_TYPE_FUNCTION' failed at /home/ubuntu/fuzz/jerryscript/jerry-core/parser/js/js-parser.c(parser_parse_function_arguments):1618,access,f3a420b672927037beb4508d7bdd68fb25d2caf6,"jerry-core/parser/js/js-lexer.c, tests/jerry/es.next/regression-test-issue-4916.js"
Issue,4913,Update build profile to es.next on esp8266,issue,077eaeb4e7d61d5b18fd44744d3b2650fb34fad1,"jerry-core/parser/js/js-parser.c, targets/baremetal-sdk/esp8266-rtos-sdk/Makefile.esp8266, targets/baremetal-sdk/esp8266-rtos-sdk/ld/eagle.app.v6.ld"
